keys,en,de
MAINSCREEN_NO_KATA_PROMPT,"Choose a coding Kata and click on ""Start Kata""","Wähle eine Coding Kata und klicke auf ""Kata Starten"""
MAINSCREEN_BUTTON_RUN_TESTS,"Start test","Test starten"
MAINSCREEN_BUTTON_CANCEL_KATA,"Cancel Kata","Kata abbrechen"
MAINSCREEN_EXTERNAL_EDITOR_HINT,"Solve the Kata in your external Editor. Afterwards click on ""Start test""","Löse die Kata in deinem externen Editor. Klicke anschließend auf ""Test starten""."
MAINSCREEN_LABEL_HINTS,"Hints","Tipps"
MAINSCREEN_BUTTON_SHOW_HINTS,"Show hints","Tipps anzeigen"
MAINSCREEN_BUTTON_HIDE_HINTS,"Hide hints","Tipps ausblenden"
SELECTOR_BUTTON_START_KATA,"Start Kata","Kata Starten"
SELECTOR_LABEL_IN_PROGRESS,"A Kata is already in progress","Es ist gerade eine Kata in Bearbeitung"
SELECTOR_FILTER_ALL_LANGUAGES,"All Languages","Alle Sprachen"
SELECTOR_FILTER_ALL_DIFFICULTIES,"All Difficulties","Alle Schwierigkeitsgrade"
RESULTVIEW_RESULT_HEADER,"Results","Ergebnisse"
RESULTVIEW_LABEL_PASSED,"Passed","Erfolgreich"
RESULTVIEW_LABEL_FAILED,"Failed","Fehlgeschlagen"
RESULTVIEW_LABEL_TOTAL,"Total","Insgesamt"
RESULTVIEW_LABEL_NO_KATA_ACTIVE,"No Kata in progress","Keine Kata in Bearbeitung"
RESULTVIEW_LABEL_NO_VALUE,"-","-"
RESULTVIEW_BUTTON_SUBMIT,"Submit Kata","Kata abschließen"
TESTRUNNER_ERR_CONFIG_NOT_FOUND,"Config file not found","Konfigurationsdatei nicht gefunden"
TESTRUNNER_ERR_CONFIG_PARSE,"Config file not parseable","Konfigurationsdatei konnte nicht geparst werden"
TESTRUNNER_ERR_SCRIPT_MISSING,"The file kata.gd doesn't exist","Die Datei kata.gd existiert nicht"
TESTRUNNER_ERR_SCRIPT_COMPILE,"Script couldn't be compiled. Syntax error?","Script konnte nicht kompiliert werden. Syntaxfehler?"
TESTRUNNER_ERR_METHOD_NOT_FOUND,"Method '%s' not found. Do you use the correct name?","Methode '%s' nicht gefunden. Hast du sie richtig benannt?"
TESTRUNNER_TEST_RESULT_PASS,"Result: %s","Ergebnis: %s"
TESTRUNNER_TEST_RESULT_FAIL,"Expected: %s | Received: %s","Erwartet: %s | Erhalten: %s"
TESTDETAIL_TEST_STATUS_PASS,"PASS","ERFOLG"
TESTDETAIL_TEST_STATUS_FAIL,"FAIL","FEHLSCHLAG"
